,rating,title,description,helpful
0,5,Good product,"  In fact few days back I have given only one star because the received piece start malfunctioning in few days. When I reported the issue to amazon they diverted me to supplier.Supplier contacted me through their service agent and after convincing the case is genuine they took immediate action and replace the item within few days.In short I got very good response from Amazon, Supplier and service team.Really I am very much satisfied with supplier also product is functioning very good now.Wish all the success to the supplier.",13
1,5,100% Perfect Product “Worth Spending Money”,"  Best Product and worth spending money.We have got the product before expected delivery time.Very nice packing.They are also providing test certificate along with product user manual.I have referred user manual in detail and turn on the power as per given instructions.Very first I have tried to check out side weather temperature, room temperature, AC temperature, food cooking temperature, homemade chocolates melting temperature and many other things and it was 100% accurate.I also have tried to check body temperature and that was also 100% perfect.I must say if someone is looking for such kind of thermometer then must go for it, I am very much sure it will fulfill your all expectations.",7
2,5,Perfect product value for money,"  100% Perfect Product “Worth Spending Money”Best Product and worth spending money.We have got the product before expected delivery time.Very nice packing.I have referred user manual in detail and turn on the power as per given instructions.Very first I have tried to check out side weather temperature, room temperature, AC temperature, food cooking temperature and many other things and it was 100% accurate. I checked body temperature both with infra red thermometer and conventional thermometer it was 100% accurate.I must say if someone is looking for such kind of thermometer then must go for it, I am very much sure it will fulfill your all expectations.",6
3,2,Made in China,"  I bought this product thinking it is 'made in India', but not only was it made in China but had a different brand. Looked a bit cheap and not sure if it's readings are correct. I feel cheated as I wanted to support indian made products. I hope atleast the 6 months warranty is valid, as products are taking really long to reach due to pandemic. I hope seller will stop using the word 'swadeshi'and made in india tag and stop cheating people.",6
4,1,Misrepresenting country of origin,"  I feel downright cheated by this seller. The product shipped is not made in India but in China, Donot be misled by this brand. Even the brand Vaku is nowhere mentioned on the box. My view... avoid this seller and product.",7
5,1,Incorrect defective product received -made in china,"  The seller is a big cheat no doubt. I just read similar reviews - wish i had read before placing order. Shocking to see the seller sent made in china cheap and defective product while description says certified made in india product. Absolutely useless, shows incorrect temperature. Opened, tried and packed back as its completely useless. Noone should ever trust this seller or buy from Dr Vaku. Really they think buyers are uneducated or what?",4
6,1,Battery polarities to connect not clear,  Product does not work. New battery still does not workThis is what i have given feed backNow problem arose because company did not explicitly make it clear how to connect polaritiesAs per connecting device both + of batteries are to point up wards. Then it does not workWhen you connect inner battery facing up and outer battery gaving down device stRted working.I wish device shows markingNow we will use,2
7,5,Easy to use,"  Best Product and worth spending money.We have got the product before expected delivery time.Very nice packing.They are also providing test certificate along with product user manual.I have referred user manual in detail and turn on the power as per given instructions.Very first I have tried to check out side weather temperature, room temperature, AC temperature, food cooking temperature, homemade chocolates melting temperature and many other things and it was 100% accurate.I also have tried to check body temperature and that was also 100% perfect.I must say if someone is looking for such kind of thermometer then must go for it, I am very much sure it will fulfill your all expectations.",0
8,5,Best infrared thermometer below 1K. Go for it guys!,"  Got this product on scheduled date. Packaging was good. It was no contact delivery. Product came with 2 AAA batteries, user manual and warranty card. Readings are good and accurate. I was struggling to switch off the device but got to know that it gets switched off after few seconds automatically. Green, yellow and red screens are really good to understand the intensity of body temperature. Overall a must buy product if you have a baby.",0
9,5,Value for money product.,"  I understand, this product is giving very Accurate temperature and its sensor is very quick in reading the temperature..Its Value for money product..",0
10,1,"Got a used product, beware",  Got a used product. It works though. Even battery had worn out.  Don't know if Amazon has any quality control.,2
11,1,Not as described/fake product,"  In the name of Swadesi product, sent me a cheap Chinese alternative. Unbelievable how you are tricking consumers with different names.",0
12,1,Not a relible product. Never purchase it. Zero service,  Your browser does not support HTML5 video.   It will work fine for some days then reading will be 90 to 93 F Not reliable. Supprt is very poor I kept on diling service  no. No response at all. This seems Chinese product with fake make in India.,0
13,3,Chinese product,"  Though claimed as an Indian product, found to be Chinese made product with leaflets in Chinese language. Only Vaku  contribution was a token so I returned it. Disappointed.",0
14,1,Accuracy was questionable,  In just two days of use it started showing different readings. Especially at this hour of pandemic one wanted something Best. Not worth it and hence returned,0
15,1,Disappointed,"  I have bought 2 thermometers first one worked absolutely fine . Second one completely opposite was different piece totally .  faulty temperature readings, no red , green, orange indicator. How can the same company sell 2 different pieces under the same name",0
16,1,Made in china,"  Its made in china product, despite ordering made in india produxt",0
17,5,Need of the hour,  In todays times this Thermometer is very important and we can monitor the temperature at regular intervals. I have changed it to F from C with instructions in the small manual. Individuals ( Children from age 8 who can understand) can read the temperature without depending on any body. Great product Value for money.Sunder DP,0
18,1,Dead on arrival,  Cheap China product. does not even work,0
19,1,Received Defective Indtrument,"  Dear Amazon Team,  I have ordered this product and have received it yesterday only. But the product is not working only and also it is not returnable. Now what will I do with this defective instrument. It is of no use to me. Useless product and fraud company.",0
20,5,Great Product,"  Very useful product in this Covid time, ordered for my office, gives a sense of hope that we all are safe, when we check and measure the temperature of anyone visiting our office.Great product",0
21,5,EVERYCOM Non contact Infrared thermometer is a good item to have in house .,  This is a very handy device for household use . Can show in Centigrade  as well as Fareheit.  Initially took a few minutes to charge after installing batteries .  After that it has been providing digital recordings well .,0
22,1,Not worth.. seller is ripping off,"  Stopped working after a month, warranty was initially written here as 6months.. now there is no way to contact the seller",0
23,5,Value for Money,  This product is very easy to use. Gives you accurate results and at this price value for money.,0
24,5,Accurate & easy to handle,  Dr vaku's infrared thermometer is accurate in its temperature readings. It is quite easy to use - shoot & check. It's convenient to have at home for any sudden needs,0
25,5,Works as it says,  Works as it says. I tested it in both body and surface mode and its nearly accurate.,0
26,5,Thermometer is good and useful,  Thermometer is good and it works so well quality of it is good. it comes with two AAA battery.,0
27,5,Very good product,"  Very good product at reasonable price Working Good  Storage and View function also available so no need to worry about the reading. Accuracy, Colour Display, Reading visibility",0
28,5,Great made in India product,"  The product works fine and it's quick, temp reading is within one to 2 secs. This being an indigenous product,it's beyond the expected standards. It's great value for money.",0
29,5,Value for money and provudes accurate results.,  My son is just 3 years old and easy to monitor his temperature without putting thermometer in his mouth.It is a nice product and very user friendly with accuracy and indeed a value for money.,0
30,5,Little doctor assistant,  Accurate tempature findEasy to use..very simple and warmth healthy to examiner,0
31,1,Extremely poor quality,  Extremely poor performance. Complete wate of money. Bought oximeter and this together. Seems company is just making money by fooling us.,0
32,1,Made in china products,"  This product is not from Dr VAKU Company, it is a China made product. Low quality product",0
33,5,IR Thermometer,  Good and easy to use. Reviewed after ten days of use.,0
34,5,Best in the Market very Very Useful,  Awesome Thermometer. Measures Exact  Temperature Reading. Perfectly Working.Very Very Useful Product.,0
35,5,Brilliant,  We have been facing a lot of problem with digital thermometer.This is a great buy. Very easy to use.,0
36,5,Infrared body thermometer,  Easy to use and user friendly. Made in India product.,0
37,5,Not working,  I received a faculty product it dont even light up use less,0
38,5,A high precision and a safe infrared thermometer,  The product has a sleek look with a very informative manual. Settling the infrared thermometer was very simple and the results were displayed very promptly on the screen. It’s a wonderfully crafted product.,0
39,5,Infrared Forehead Thermometer JO-600.,"  This product is very good, we used earlier also, the readings are accurate, The product is properly packed and delivered with proper care.This product is worth with maximum discount.Thank you very much Amazon.",0
40,5,Need for the time. Go for this product.,  Got this product. Found it very easy to use. Shows accurate temperature. More than that it is value for money.,0
41,5,No.1,  Very nice product made in India,0
42,5,5 Star Product,  It Is very good product and easy to use and accuracy is approx 98% while using 1 or 2 times it shows red mark however again checked it was resulting correct,0
43,5,Great product - Accurate & value for money,  My experience with the overall buying experience of the product and usage of the product is very good. It is absolutely as shown on Amazon. Highly recommend this product.,0
44,5,vey Nice Products,"  Product was very nice ,it low in weight and easy to use and each and every instructions detail given ,it comes in very good packaging, I recomend to buy this product only,its made in india",0
45,5,Best & Worthy,  Best Product & accurate also. Working fine till now. Using from past 1 week.,0
46,1,Defective battery,  Battery was not working at all. Had to buy a new one.,0
47,5,Very good product,  The product is very good it's accurate and easy to use the only down side is the size of  the product designers have to make it littlecompact,0
48,1,"after 6 month start giving false reading ,","  it was good product when purchased but after 6 month it  start giving false reading ,now it is useless",0
49,5,Accurate temperature checking,  Good product with value for money...👍,0
50,5,Review,  I have purchased this product in a very reasonable price.It is working fine.Giving correct measurement.Thank you Amazon for such a good purchase.,0
51,4,Worth buying,  Directions to insert battery isn't properly mentioned. Rest all good,0
52,5,Best Contactless Thermometer,"  Great Product, worth buying it",0
53,5,Must Have,"  I have just received Dr. Vaku's thermometer and its very easy to use and gives accurate reading, its color coding feature makes it easier for many people to understand.",0
54,5,Accurate,  Accurate,0
55,5,Good Product,  Very good product and the build quality is also excellent over all I liked this product,0
56,5,"Works perfectly, easy to use","  Working perfectly fine, easy to use and show result very fast. Perfect device for home.",0
