,rating,title,description,helpful
0,4,Content is good but discount mentioned was misleading,  Content is good but bought the book claiming a 70 % discount at  rs. 545 whereas the real printed price is rs.599.Felt cheated by u read store.,6
1,5,The killer design. And a well-known World-Class Literature.,  The book is 'killer' in its outlook. Excellent binding and one of the finest products I have received from Amazon. Overall brilliant. And thanks for bookmarker.,2
2,5,Nonstop read. Very interesting,"  Great reading. Start reading only if you have time to finish it, because you won't be able to put it down",0
3,5,A different perspective,  Amazing book.Read the following books in this order to get the complete picture:1. Selfish gene2. Extended phenotype3. Origins of virtue,0
4,4,Good to read,  Good book,0
5,1,Damaged product,  The cover was dirty and the pages were soiled and torn.,0
6,5,Quality binding,  This book is the best quality of hardcover I've ever owned.,0
7,4,Good book,  Good book,0
8,5,My book arrived! Undamaged and in reasonable time.,"  Well, despite (as yet) not ever meeting Richard Dawkins, we are seemingly kindred spirits and the more of his words I read the more I am convinced! I actually came to his writing rather late but being well aware of his opinions and delivery through his various television appearances - his tomes do not disappoint - his command and breath of language impressive. I commend all his works and especially to anyone of a religious persuasion.",0
9,5,A masterpiece,  Great book. a special edition.,0
10,4,Very good,  Makes you think.  From bacteria and single cells cooperation to everything living we know.,21
11,5,recu rapidement.,  super bonne experience d`achat,2
12,5,great,  This book is awesome!,19
13,5,The service is good,  I already recieved the book and the service is quite good.,3
14,5,Notable update to a classic ...,"  This is the '40th Anniversary' edition of the book ... but not exactly a new edition. It's a volume that actually contains the 2nd edition of the book, with revisions and the prefaces and forwards. It adds a new epilogue for this edition, as well as two chapters from a different book ""The Extended Phenotype"". Thus the new title ""The Extended Selfish Gene"". Having read the first edition 40 years ago, this re-read was somewhat nostalgic and a reminder of how controversial the original was. This was never a technical book on genetics, but an argument for an interpretation of the process of natural selection at the gene level. Many technical and popular reviewers at the time imposed some personal and wrong-headed interpretations to the meaning of the term 'selfish' gene, to which this edition is a counterargument. Perhaps the most interesting parts of the book are in fact the endnotes to each chapter, and should be read as noted when they occur.  These provide more of the historical changes.Needless to say perhaps, but as the 'modern synthesis' provided a new context to Darwin's ideas when the gene was explored scientifically, the concept of the selfish gene has become even more important with the rigorous sequencing of the full genome of viruses, bacteria, higher organisms and humans, and the discovery of regulatory genetic elements.Nature continues to amaze ...",0
15,5,What is life and how does it evolve?,"  The Selfish Gene is a classic in exploring how Darwin's theory of evolution operates deeply within living things. Even if one is not entirely comfortable with Dawkin's perspective, this work offers the opportunity to tread the fine line between highly technical insights into biological processes and a generalized paradigm of how life works at the genetic level.",0
16,5,Even if you ascribe to the organism level side of the debate I think you can't help but like this book.,  I experienced Dawkins's writing in reverse order. I had enjoyed all of his books and this was the last one that I read. This book being his first book it maybe a bit odd that I got to reading it last but it was still educational and this revised version is excellent. He includes small updates from his later works giving new depth to a game changing argument for the gene centered view of evolution by natural selection. In my biology classes having experienced so much of RD's thought on the subject before having the formal education I was able to see clearly so many things that I think would have been difficult to conceptualize. If you have never read the Selfish Gene before you will love this book at least if you love science.,0
17,5,Highly recommend,  Great book to clarify some of the concepts in evolution many people seem to misunderstand. Easy read. Well written. great infrmation.,0
18,4,Great Book,"  Not the easiest thing to read, however, beautiful descriptions and written in a not very complex way for any average person to read.",0
19,5,Great,  Loved it,0
20,5,Overal good,  Very informative bought for class but read for pleasure,0
21,5,Five Stars,  excellent service and quality product,0
22,5,Five Stars,  Love this classic.,2
23,5,Great update,  The book is an excellent addition to the original volume.,0
24,5,Five Stars,  PRESENT FOR SON IN LAW WHO LIKES DAWKINS BOOKS,0
25,4,Box set version of the classic book,"  The EXTENDED Selfish Gene feels like it's a ""box set"" type of thing, except for only one book. It contains all the Forewords, Introductions, Endnotes, Commentaries, Special Director's Cuts (oops, that's DVD's - I hope you get what I mean) from all of the various editions of Dawkins' classic. It's something made for fans of Dawkins, people who have followed his career, read his books, paid attention to the impacts and reactions to this book and his other books.When you get a DVD movie, first, maybe you watch the trailer first, but then you watch the movie.  All the extra stuff - the interviews, the outtakes, etc -  you watch later. Same for this book. It has a TON of the extra stuff that you check later, after reading the main text of the book.The book itself is basically the same book, and has been reviewed a jillion times, so I won't bother trying to add to that. But I will say, as a first-time reader of the book, that all the extra stuff made it a touch (not a lot) more difficult to read -- because, for example, The Foreward to The Second Edition really didn't mean anything to me, as it talked about response to the original and such. I just wanted to read the book!  After I finished, then going back and reading all the extra stuff was interesting, but still, I didn't really care, because I'm just not a Dawkins fanboy.The Selfish Gene is a good, perhaps great book. It's worth reading for just about anyone, no matter how much they already know (or think they know) about evolution. This version of it is made for Dawkins fans.",0
26,4,My Second Attempt,"  There are many videos of Richard Dawkins on youtube, and I enjoy them all.  You could say that I am a Dawkins fan.  However, something happens when I read  Dawkins’ books.  It’s as if I’m reading something written by an entirely different person than the person I enjoy so much in the videos. And his books get nothing but 5-star reviews…tons of them.  I have therefore concluded that the fault lies with me…not with Richard Dawkins and the rest of the civilized world. I have tried reading three of Dawkins’ books…The Selfish Gene (twice), The Ancestor’s Tale, and Brief Candle In The Dark.  None have resonated positively with me.  I have considered reading The God Delusion, but Richard’s views coincide with my own views in the matter 100% so I don’t see the point of reading The God Delusion. The Selfish Gene was published in 1976 and I bought it perhaps in 1977.  I was interested in the subject, and I anticipated that I would enjoy the book.  And it began well enough to draw me in.  But it eventually began to become tedious.  I slogged along for a while, but eventually I put the book aside. And then, in 2017, The Selfish Gene popped up as an offering to members of Vine Voice.  I had read quite a bit about genes etc in the intervening years, and I decided to give The Selfish Gene (Extended version) a second chance. I read with enjoyment all the Introductions to Previous Editions etc., and I looked forward once again to reading the book.  And once again, I enjoyed the early chapters.  Then slowly but surely, I found myself slogging along through muddy waters.  So I jumped to the two chapters at the end of the book taken from The Extended Phenotype.  These chapters clarified some issues for me, but muddied others.  Then in front of the two new chapters I found a collection of extracts from reviews written by people I admire…W.D.Hamilton, Peter Medawar, and John Maynard Smith and I read these extracts.  These gentlemen convinced me that there must be something wrong with me and the way I read, rather than with Richard Dawkins and the way he writes. So, one day, I will make a third attempt at reading this book.  But not now.",0
